2024-07-14 22:52:24.773,9128283H1,98-315,1000000,2000000,BID,99-001,1000000,2000000,OFFER
2024-07-14 22:52:24.774,9128283H1,98-316,2000000,4000000,BID,99-002,2000000,4000000,OFFER
2024-07-14 22:52:24.774,9128283H1,98-317,1000000,2000000,BID,99-003,1000000,2000000,OFFER
2024-07-14 22:52:24.775,9128283H1,99-000,2000000,4000000,BID,99-00+,2000000,4000000,OFFER
2024-07-14 22:52:24.775,9128283H1,99-002,1000000,2000000,BID,99-00+,1000000,2000000,OFFER
2024-07-14 22:52:24.776,9128283H1,99-003,2000000,4000000,BID,99-005,2000000,4000000,OFFER
2024-07-14 22:52:24.776,9128283H1,99-00+,1000000,2000000,BID,99-006,1000000,2000000,OFFER
2024-07-14 22:52:24.777,9128283H1,99-00+,2000000,4000000,BID,99-010,2000000,4000000,OFFER
2024-07-14 22:52:24.777,9128283H1,99-006,1000000,2000000,BID,99-010,1000000,2000000,OFFER
2024-07-14 22:52:24.778,9128283H1,99-006,2000000,4000000,BID,99-012,2000000,4000000,OFFER
2024-07-14 22:52:24.778,9128283H1,99-007,1000000,2000000,BID,99-013,1000000,2000000,OFFER
2024-07-14 22:52:24.779,9128283H1,99-011,2000000,4000000,BID,99-013,2000000,4000000,OFFER
2024-07-14 22:52:24.779,9128283H1,99-011,1000000,2000000,BID,99-015,1000000,2000000,OFFER
2024-07-14 22:52:24.780,9128283H1,99-013,2000000,4000000,BID,99-015,2000000,4000000,OFFER
2024-07-14 22:52:24.781,9128283H1,99-01+,1000000,2000000,BID,99-016,1000000,2000000,OFFER
2024-07-14 22:52:24.781,9128283H1,99-015,2000000,4000000,BID,99-017,2000000,4000000,OFFER
2024-07-14 22:52:24.782,9128283H1,99-016,1000000,2000000,BID,99-020,1000000,2000000,OFFER
2024-07-14 22:52:24.782,9128283H1,99-017,2000000,4000000,BID,99-021,2000000,4000000,OFFER
2024-07-14 22:52:24.783,9128283H1,99-020,1000000,2000000,BID,99-022,1000000,2000000,OFFER
2024-07-14 22:52:24.783,9128283H1,99-021,2000000,4000000,BID,99-023,2000000,4000000,OFFER
2024-07-14 22:52:24.784,9128283H1,99-021,1000000,2000000,BID,99-025,1000000,2000000,OFFER
2024-07-14 22:52:24.784,9128283H1,99-023,2000000,4000000,BID,99-025,2000000,4000000,OFFER
2024-07-14 22:52:24.785,9128283H1,99-023,1000000,2000000,BID,99-027,1000000,2000000,OFFER
2024-07-14 22:52:24.785,9128283H1,99-025,2000000,4000000,BID,99-027,2000000,4000000,OFFER
2024-07-14 22:52:24.787,9128283H1,99-025,1000000,2000000,BID,99-031,1000000,2000000,OFFER
